MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
24,108903,4763,61084,Gacrux,Gam Cru/HD 108903/HR 4763/Δ 124/γ Cru,Gacrux,γ Cru,,Cru,187.791498,-57.113213,23.0,-262.0,21.0,,1.59,1.59,  M3.5III           ,1.0,1.0,2016-07-20
25,35468,1790,25336,Bellatrix,24 Ori/24Gam Ori/HD 35468/HR 1790/JNN 4/β pm 78/γ Ori,Bellatrix,γ Ori,24 Ori,Ori,81.282764,6.349703,-9.0,-14.0,18.0,29.0,1.64,-0.22,  B2III             ,1.0,1.0,2016-06-30
26,35497,1791,25428,Elnath,112 Tau/112Bet Tau/23 Aur/BAR 26/HD 35497/HR 1791/JNN 5/OCC 115/β Tau/γ Aur,Elnath,β Tau,112 Tau,Tau,81.572971,28.607452,22.0,-175.0,9.0,28.0,1.65,-0.13,  B7III             ,1.0,0.0,2016-07-20
27,80007,3685,45238,Miaplacidus,Bet Car/HD 80007/HR 3685/β Car,Miaplacidus,β Car,,Car,138.299906,-69.717208,-162.0,108.0,-5.0,21.0,1.67,0.0,  A2IV              ,0.0,0.0,2016-07-20
28,37128,1903,26311,Alnilam,46 Ori/46Eps Ori/HD 37128/HR 1903/β pm 81/ε Ori,Alnilam,ε Ori,46 Ori,Ori,84.053389,-1.201919,1.0,-2.0,26.0,-2.0,1.69,-0.19,  B0Ia              ,1.0,1.0,2016-07-20
29,108249,4731,0,HD 108249,Alp2Cru/HD 108249/HR 4731,,,,,186.6520833333333,-63.09944444444445,-34.0,-7.0,-1.0,8.0,1.73,-0.26,  B1V               ,1.0,0.0,
30,209952,8425,109268,Alnair,Alp Gru/HD 209952/HR 8425/RST 5483/α Gru,Alnair,α Gru,,Gru,332.05827,-46.960974,129.0,-151.0,12.0,57.0,1.73,-0.13,  B7IV              ,1.0,1.0,2016-07-20
31,37742,1948,26727,Alnitak,50 Ori/50Zet Ori/HD 37742/HR 1948/NOI 1/Σ 774/ζ Ori,Alnitak,ζ Ori,50 Ori,Ori,85.189694,-1.942574,3.0,-2.0,18.0,24.0,1.74,-0.21,  O9.7Ib            ,1.0,1.0,2016-07-20
32,112185,4905,62956,Alioth,77 UMa/77Eps UMa/BLM 2/HD 112185/HR 4905/ε UMa,Alioth,ε UMa,77 UMa,UMa,193.50729,55.959823,112.0,-6.0,-9.0,9.0,1.76,-0.02,  A0pCr             ,0.0,1.0,2016-06-30
33,68273,3207,0,HD 68273,Gam2Vel/HD 68273/HR 3207,,,,,122.38333333333333,-47.336666666666666,-4.0,6.0,35.0,17.0,1.78,-0.22,  WC8+O9I           ,1.0,1.0,
34,20902,1017,15863,Mirfak,33 Per/33Alp Per/HD 20902/HR 1017/α Per/β pm 44,Mirfak,α Per,33 Per,Per,51.080709,49.861179,24.0,-25.0,-2.0,16.0,1.79,0.48,  F5Ib              ,1.0,1.0,2016-07-20
35,169022,6879,90185,Kaus Australis,20 Sgr/20Eps Sgr/GOL 2/HD 169022/HR 6879/TOK 617/ε Sgr/λ 351,Kaus Australis,ε Sgr,20 Sgr,Sgr,276.042993,-34.384616,-38.0,-124.0,-15.0,23.0,1.79,-0.03,  B9.5III           ,1.0,0.0,2016-07-20
36,95689,4301,54061,Dubhe,50 UMa/50Alp UMa/HD 95689/HR 4301/α UMa/β 1077,Dubhe,α UMa,50 UMa,UMa,165.931965,61.751035,-119.0,-67.0,-9.0,38.0,1.81,1.07,  K0IIIa            ,1.0,1.0,2016-06-30
37,54605,2693,34444,Wezen,25 CMa/25Del CMa/HD 54605/HR 2693/β 1412/δ CMa,Wezen,δ CMa,25 CMa,CMa,107.09785,-26.3932,-3.0,4.0,34.0,-11.0,1.83,0.68,  F8Ia              ,0.0,1.0,2016-07-20
38,120315,5191,67301,Alkaid,85 UMa/85Eta UMa/HD 120315/HR 5191/η UMa,Alkaid,η UMa,85 UMa,UMa,206.885157,49.313267,-122.0,-11.0,-11.0,35.0,1.85,-0.19,  B3V               ,0.0,1.0,2016-06-30
39,71129,3307,41037,Avior,Eps Car/HD 71129/HDS 1190/HR 3307/ε Car,Avior,ε Car,,Car,125.62848,-59.509484,-26.0,14.0,2.0,,1.86,1.28,  K3III+B2:V        ,0.0,1.0,2016-07-20
40,159532,6553,86228,Sargas,HD 159532/HR 6553/The Sco/θ Sco/λ 510,Sargas,θ Sco,,Sco,264.329711,-42.997824,15.0,-2.0,1.0,27.0,1.86,0.4,  F1II              ,0.0,1.0,2016-08-21
41,40183,2088,28360,Menkalinan,34 Aur/34Bet Aur/BAR 29/H 6 88/HD 40183/HR 2088/KOE 1/β Aur,Menkalinan,β Aur,34 Aur,Aur,89.882179,44.947433,-57.0,0.0,-18.0,41.0,1.9,0.03,  A2IV              ,1.0,1.0,2016-07-20
42,150798,6217,82273,Atria,Alp TrA/HD 150798/HR 6217/WFC 179/α TrA,Atria,α TrA,,TrA,252.166229,-69.027712,14.0,-34.0,-3.0,31.0,1.91,1.44,  K2IIb-IIIa        ,0.0,0.0,2016-07-20
43,47105,2421,31681,Alhena,24 Gem/24Gam Gem/HD 47105/HR 2421/OCC 9011/β pm 90/γ Gem,Alhena,γ Gem,24 Gem,Gem,99.42796,16.39928,42.0,-42.0,-13.0,33.0,1.93,0.0,  A0IV              ,1.0,0.0,2016-07-20
44,193924,7790,100751,Peacock,Alp Pav/HD 193924/HJ 5193/HR 7790/α Pav,Peacock,α Pav,,Pav,306.411904,-56.73509,7.0,-89.0,2.0,,1.94,-0.2,  B2IV              ,1.0,1.0,2016-07-20
45,44743,2294,30324,Mirzam,2 CMa/2Bet CMa/HD 44743/HR 2294/β CMa/β pm 88,Mirzam,β CMa,2 CMa,CMa,95.674939,-17.955919,-6.0,0.0,34.0,19.0,1.98,-0.23,  B1II-III          ,1.0,1.0,2016-07-20
46,60179,2891,36850,Castor,66 Gem/66Alp Gem/HD 60179/HR 2891/Σ 1110/α Gem,Castor,α Gem,66 Gem,Gem,113.649428,31.888276,-171.0,-98.0,6.0,67.0,1.98,0.03,  A1V               ,1.0,1.0,2016-06-30
47,74956,3485,42913,Alsephina,Del Vel/HD 74956/HJ 4136/HR 3485/I 10/KEL 1/SHY 49/δ Vel,Alsephina,δ Vel,,Vel,131.175944,-54.708819,23.0,-78.0,2.0,51.0,1.99,0.04,  A1V               ,1.0,0.0,2017-09-05
48,81797,3748,46390,Alphard,30 Hya/30Alp Hya/H 6 111/HD 81797/HR 3748/α Hya,Alphard,α Hya,30 Hya,Hya,141.896847,-8.658602,-14.0,33.0,-4.0,22.0,1.99,1.44,  K3II-III          ,1.0,1.0,2016-07-20
49,143454,5958,0,HD 143454,HD 143454/HR 5958,,,,,239.87583333333333,25.92027777777778,-5.0,13.0,-29.0,,2.0,0.1,sdBe+gM3+Q          ,1.0,1.0,
50,12929,617,9884,Hamal,13 Ari/13Alp Ari/HD 12929/HR 617/α Ari,Hamal,α Ari,13 Ari,Ari,31.793357,23.462418,190.0,-148.0,-14.0,49.0,2.01,1.15,  K2-IIICa-1        ,0.0,1.0,2016-07-20
51,4128,188,3419,Diphda,16 Cet/16Bet Cet/HD 4128/HR 188/β Cet,Diphda,β Cet,16 Cet,Cet,10.897379,-17.986606,234.0,33.0,13.0,61.0,2.04,1.02,  G9.5IIICH-1       ,0.0,1.0,2016-08-21
52,175191,7121,92855,Nunki,34 Sgr/34Sig Sgr/BED 1/HD 175191/HR 7121/SMY 4/σ Sgr,Nunki,σ Sgr,34 Sgr,Sgr,283.81636,-26.296724,13.0,-54.0,-11.0,,2.05,-0.22,  B2.5V             ,1.0,0.0,2016-08-21
53,123139,5288,68933,Menkent,5 Cen/5The Cen/HD 123139/HR 5288/Δ 253/θ Cen/λ 196,Menkent,θ Cen,5 Cen,Cen,211.670617,-36.369958,-519.0,-519.0,1.0,65.0,2.06,1.01,  K0-IIIb           ,1.0,0.0,2016-08-21
54,358,15,677,Alpheratz,21 And/21Alp And/H 5 32/HD 358/HR 15/JNN 1/MKT 11/α And/δ Peg,Alpheratz,α And,21 And,And,2.096916,29.090431,136.0,-163.0,-12.0,32.0,2.07,-0.11,  B8IVpMnHg         ,1.0,1.0,2016-06-30
55,6860,337,5447,Mirach,43 And/43Bet And/BAR 1/DAL 39/HD 6860/HR 337/β And,Mirach,β And,43 And,And,17.433013,35.620557,178.0,-114.0,3.0,49.0,2.07,1.58,  M0+IIIa           ,1.0,1.0,2016-06-30
56,38771,2004,27366,Saiph,53 Ori/53Kap Ori/HD 38771/HR 2004/κ Ori,Saiph,κ Ori,53 Ori,Ori,86.93912,-9.669605,2.0,-2.0,21.0,15.0,2.07,-0.17,  B0.5Ia            ,0.0,1.0,2016-07-20
57,131873,5563,72607,Kochab,7 UMi/7Bet UMi/HD 131873/HR 5563/β UMi/β pm 159,Kochab,β UMi,7 UMi,UMi,222.676357,74.155504,-31.0,12.0,17.0,39.0,2.07,1.47,  K4-III            ,1.0,1.0,2016-07-20
58,158926,6527,85927,Shaula,35 Sco/35Lam Sco/HD 158926/HR 6527/TNG 1/Δ 218/λ 334/λ Sco,Shaula,λ Sco,35 Sco,Sco,263.402167,-37.103824,-1.0,-29.0,-3.0,,2.08,-0.22,  B2IV+B            ,1.0,1.0,2016-07-20
59,159561,6556,86032,Rasalhague,55 Oph/55Alp Oph/HD 159561/HR 6556/MCY 4/α Oph,Rasalhague,α Oph,55 Oph,Oph,263.733627,12.560035,120.0,-226.0,13.0,67.0,2.08,0.15,  A5III             ,1.0,1.0,2016-07-20
60,19356,936,14576,Algol,26 Per/26Bet Per/CSI 1/DAL 46/HD 19356/HR 936/JNN 3/LAB 2/β 526/β Per,Algol,β Per,26 Per,Per,47.042215,40.955648,4.0,-1.0,4.0,45.0,2.09,-0.05,  B8V               ,1.0,1.0,2016-06-30
61,12533,603,9640,Almach,57 And/57Gam1And/BAR 22/HD 12533/HR 603/ΟΣ 38/Σ 205/γ And/γ1 And/γ2 And,Almach,γ1 And,57 And,And,30.974804,42.329725,45.0,-52.0,-12.0,13.0,2.1,1.37,  K3-IIb            ,1.0,0.0,2016-07-20
62,214952,8636,112122,Tiaki,Bet Gru/HD 214952/HR 8636/β Gru,Tiaki,β Gru,,Gru,340.666876,-46.884576,137.0,-8.0,2.0,8.0,2.12,1.6,  M5III             ,0.0,1.0,2017-09-05
63,8890,424,11767,Polaris,1 UMi/1Alp UMi/HD 8890/HR 424/WRH 39/Σ 93/α UMi,Polaris,α UMi,1 UMi,UMi,37.954561,89.264109,38.0,-15.0,-17.0,7.0,2.13,0.6,  F7:Ib-II          ,1.0,1.0,2016-06-30
64,102647,4534,57632,Denebola,94 Leo/94Bet Leo/HD 102647/HR 4534/RDR 3/β 604/β Leo,Denebola,β Leo,94 Leo,Leo,177.26491,14.572058,-497.0,-114.0,0.0,82.0,2.14,0.09,  A3V               ,1.0,1.0,2016-06-30
65,110304,4819,0,HD 110304,Gam Cen/HD 110304/HR 4819,,,,,190.37916666666663,-48.95972222222223,-189.0,-5.0,-6.0,16.0,2.17,-0.01,  A1IV              ,1.0,0.0,
66,66811,3165,39429,Naos,HD 66811/HR 3165/Zet Pup/ζ Pup,Naos,ζ Pup,,Pup,120.896031,-40.003148,-27.0,12.0,-24.0,,2.21,-0.26,  O5f               ,0.0,0.0,2016-08-21
67,80404,3699,45556,Aspidiske,HD 80404/HR 3699/Iot Car/ι Car,Aspidiske,ι Car,,Car,139.272529,-59.275232,-20.0,8.0,13.0,17.0,2.21,0.18,  A8Ib              ,0.0,1.0,2016-07-20
68,139006,5793,76267,Alphecca,5 CrB/5Alp CrB/HD 139006/HR 5793/α CrB,Alphecca,α CrB,5 CrB,CrB,233.67195,26.714693,121.0,-89.0,2.0,45.0,2.22,-0.02,  A0V+G5V           ,0.0,1.0,2016-07-20
69,78647,3634,44816,Suhail,HD 78647/HR 3634/Lam Vel/λ 109/λ Vel,Suhail,λ Vel,,Vel,136.998993,-43.432589,-19.0,13.0,18.0,22.0,2.23,1.66,  K4.5Ib-II         ,1.0,1.0,2016-08-21
70,116656,5054,65378,Mizar,79 UMa/79Zet UMa/HD 116656/HR 5054/PEA 1/SHY 247/SMR 4/Σ 1744/ζ UMa,Mizar,ζ UMa,79 UMa,UMa,200.981429,54.925362,122.0,-20.0,-6.0,47.0,2.23,0.02,  A1VpSrSi          ,1.0,1.0,2016-06-30
71,194093,7796,100453,Sadr,37 Cyg/37Gam Cyg/HD 194093/HR 7796/β 665/γ Cyg,Sadr,γ Cyg,37 Cyg,Cyg,305.557091,40.256679,4.0,0.0,-8.0,3.0,2.23,0.68,  F8Ib              ,1.0,1.0,2016-08-21
72,3712,168,3179,Schedar,18 Cas/18Alp Cas/H 5 18/HD 3712/HR 168/α Cas/β 1349,Schedar,α Cas,18 Cas,Cas,10.126838,56.537331,53.0,-32.0,-4.0,16.0,2.24,1.17,  K0IIIa            ,1.0,1.0,2016-08-21
73,164058,6705,87833,Eltanin,33 Dra/33Gam Dra/HD 164058/HR 6705/β 633/γ Dra,Eltanin,γ Dra,33 Dra,Dra,269.151541,51.488896,-8.0,-19.0,-28.0,25.0,2.24,1.52,  K5III             ,1.0,0.0,2016-08-21
74,36486,1852,25930,Mintaka,34 Ori/34Del Ori/HD 36486/HEI 42/HR 1852/Σ I 14/β 558/δ Ori,Mintaka,δ Ori,34 Ori,Ori,83.001667,-0.299095,1.0,-2.0,16.0,14.0,2.25,-0.22,  O9.5II            ,1.0,1.0,2016-07-20
75,432,21,746,Caph,11 Cas/11Bet Cas/AGC 15/HD 432/HR 21/β Cas,Caph,β Cas,11 Cas,Cas,2.294522,59.149781,525.0,-181.0,12.0,72.0,2.28,0.34,  F2III-IV          ,1.0,1.0,2016-06-30
76,143275,5953,78401,Dschubba,7 Sco/7Del Sco/HD 143275/HR 5953/LAB 3/δ Sco,Dschubba,δ Sco,7 Sco,Sco,240.083359,-22.62171,-12.0,-22.0,-7.0,,2.29,-0.12,  B0.3IV            ,1.0,0.0,2016-08-21
77,151680,6241,82396,Larawag,26 Sco/26Eps Sco/HD 151680/HR 6241/ε Sco,Larawag,ε Sco,26 Sco,Sco,252.540878,-34.293232,-611.0,-255.0,-3.0,22.0,2.29,1.15,  K2.5III           ,0.0,1.0,2017-11-17
78,118716,5132,0,HD 118716,Eps Cen/HD 118716/HR 5132,,,,,204.9716666666667,-53.46638888888889,-28.0,-16.0,3.0,,2.3,-0.22,  B1III             ,1.0,1.0,
79,129056,5469,0,HD 129056,Alp Lup/HD 129056/HR 5469,,,,,220.4825,-47.388333333333335,-21.0,-18.0,5.0,,2.3,-0.2,  B1.5III/Vn        ,1.0,1.0,
80,127972,5440,0,HD 127972,Eta Cen/HD 127972/HR 5440,,,,,218.8766666666667,-42.157777777777774,-35.0,-35.0,0.0,,2.31,-0.19,  B1.5Vne           ,0.0,1.0,
81,95418,4295,53910,Merak,48 UMa/48Bet UMa/HD 95418/HR 4295/β UMa,Merak,β UMa,48 UMa,UMa,165.460319,56.382426,82.0,34.0,-12.0,53.0,2.34,-0.02,  A1V               ,0.0,1.0,2016-06-30
82,129988,5506,72105,Izar,36 Boo/HR 5506/Σ 1877/ε Boo,Izar,ε Boo,36 Boo,Boo,221.246763,27.074207,,,,,2.35,,,,,2016-08-21
83,206778,8308,107315,Enif,8 Peg/8Eps Peg/HD 206778/HR 8308/S 798/ε Peg,Enif,ε Peg,8 Peg,Peg,326.046484,9.875009,31.0,-1.0,5.0,6.0,2.38,1.53,  K2Ib              ,1.0,1.0,2016-07-20
84,2261,99,2081,Ankaa,Alp Phe/CRU 9004/HD 2261/HR 99/α Phe,Ankaa,α Phe,,Phe,6.570939,-42.306084,203.0,-396.0,75.0,35.0,2.4,1.09,  K0III             ,1.0,0.0,2016-07-20
85,103287,4554,58001,Phecda,64 UMa/64Gam UMa/HD 103287/HR 4554/SHY 227/γ UMa,Phecda,γ UMa,64 UMa,UMa,178.457679,53.694758,95.0,12.0,-13.0,28.0,2.41,0.0,  A0Ve              ,0.0,1.0,2016-07-20
86,160578,6580,0,HD 160578,HD 160578/HR 6580/Kap Sco,,,,,265.62208333333336,-39.03,-6.0,-27.0,-14.0,,2.41,-0.22,  B1.5III           ,0.0,1.0,
87,155125,6378,84012,Sabik,35 Oph/35Eta Oph/DAL 52/HD 155125/HR 6378/β 1118/η Oph,Sabik,η Oph,35 Oph,Oph,257.594529,-15.724907,39.0,98.0,-1.0,52.0,2.43,0.06,  A2V               ,1.0,0.0,2016-08-21
88,217906,8775,113881,Scheat,53 Peg/53Bet Peg/HD 217906/HJ 1842/HR 8775/β Peg,Scheat,β Peg,53 Peg,Peg,345.943572,28.082785,189.0,137.0,9.0,22.0,2.44,1.67,  M2.5II-III        ,1.0,1.0,2016-06-30
89,58350,2827,35904,Aludra,31 CMa/31Eta CMa/HD 58350/HR 2827/SMY 2/η CMa,Aludra,η CMa,31 CMa,CMa,111.02376,-29.303106,-4.0,5.0,41.0,,2.45,-0.08,  B5Ia              ,1.0,0.0,2016-07-20
90,203280,8162,105199,Alderamin,5 Cep/5Alp Cep/HD 203280/HR 8162/α Cep/β 1502,Alderamin,α Cep,5 Cep,Cep,319.644885,62.585574,151.0,49.0,-10.0,68.0,2.45,0.22,  A7V               ,1.0,1.0,2016-07-20
91,5394,264,0,HD 5394,27Gam Cas/HD 5394/HR 264,,,,,14.177083333333332,60.71666666666667,26.0,-5.0,-7.0,16.0,2.47,-0.15,  B0IVe             ,1.0,1.0,
92,81188,3734,45941,Markeb,HD 81188/HR 3734/Kap Vel/κ Vel,Markeb,κ Vel,,Vel,140.528407,-55.010667,-8.0,9.0,22.0,13.0,2.47,-0.18,  B2IV-V            ,0.0,0.0,2017-09-05
93,197989,7949,102488,Aljanah,53 Cyg/53Eps Cyg/CHR 100/HD 197989/HR 7949/LEP 96/ΟΣ 594/β 676/ε Cyg,Aljanah,ε Cyg,53 Cyg,Cyg,311.552843,33.970257,356.0,328.0,-11.0,57.0,2.48,1.03,  K0-III            ,1.0,0.0,2017-06-30
94,218045,8781,113963,Markab,54 Peg/54Alp Peg/HD 218045/HR 8781/α Peg,Markab,α Peg,54 Peg,Peg,346.190223,15.205267,63.0,-42.0,-4.0,38.0,2.49,-0.04,  B9V               ,0.0,1.0,2016-06-30
95,18884,911,14135,Menkar,92 Cet/92Alp Cet/HD 18884/HR 911/α Cet,Menkar,α Cet,92 Cet,Cet,45.569885,4.089737,-9.0,-78.0,-26.0,9.0,2.54,1.64,  M1.5IIIa          ,0.0,1.0,2016-06-30
96,121263,5231,0,HD 121263,HD 121263/HR 5231/Zet Cen,,,,,208.885,-47.28833333333333,-57.0,-42.0,7.0,,2.55,-0.22,  B2.5IV            ,0.0,0.0,
97,97603,4357,54872,Zosma,68 Leo/68Del Leo/DAL 35/HD 97603/HR 4357/ΟΣ 573/β 1282/δ Leo,Zosma,δ Leo,68 Leo,Leo,168.527089,20.523718,142.0,-130.0,-20.0,48.0,2.56,0.12,  A4V               ,1.0,1.0,2016-07-20
98,144217,5984,78820,Acrab,8 Sco A/8Bet1Sco/H 3 7/HD 144217/HR 5984/OCC 9158/PWL 9001/β 947/β Sco/β1 Sco,Acrab,β1 Sco,,Sco,241.3593,-19.805453,-6.0,-19.0,-1.0,9.0,2.56,-0.07,  B1V               ,1.0,1.0,2016-08-21
99,149757,6175,0,HD 149757,13Zet Oph/HD 149757/HR 6175,,,,,249.28958333333333,-10.567222222222222,14.0,26.0,-15.0,3.0,2.56,0.02,  O9.5Vn            ,0.0,1.0,
100,36673,1865,25985,Arneb,11 Lep/11Alp Lep/HD 36673/HJ 3766/HR 1865/α Lep,Arneb,α Lep,11 Lep,Lep,83.182567,-17.822289,1.0,2.0,24.0,7.0,2.58,0.21,  F0Ib              ,1.0,1.0,2016-07-20
101,106625,4662,59803,Gienah,4 Crv/4Gam Crv/HD 106625/HR 4662/RBR 5/γ Crv,Gienah,γ Crv,4 Crv,Crv,183.951543,-17.541929,-161.0,23.0,-4.0,,2.58,-0.11,  B8IIIpHgMn        ,0.0,1.0,2016-11-06
102,105435,4621,0,HD 105435,Del Cen/HD 105435/HR 4621,,,,,182.0895833333333,-50.7225,-34.0,-8.0,11.0,26.0,2.6,-0.12,  B2IVne            ,1.0,1.0,
103,176687,7194,93506,Ascella,38 Sgr/38Zet Sgr/H 5 78/HD 176687/HDO 150/HR 7194/ζ Sgr,Ascella,ζ Sgr,38 Sgr,Sgr,285.653043,-29.880063,-15.0,-2.0,22.0,25.0,2.6,0.08,  A2III+A4IV        ,1.0,0.0,2016-09-12
104,89484,4057,50583,Algieba,41 Leo/41Gam1Leo/HD 89484/HR 4057/Σ 1424/γ1 Leo/γ2 Leo,Algieba,γ1 Leo,41 Leo,Leo,154.993144,19.841489,306.0,-147.0,-37.0,22.0,2.61,1.15,  K1-IIIbFe-0.5     ,1.0,1.0,2016-07-20
